,headline.main,state,headline_raw,head_split
21,Hoyt Takes Lead in Men's Senior Division as U.S. Figure Skating Starts; ALLEN IS SECOND TO COLORADO LAD Hoyt Gains Sizable Margin in Compulsory Figures-- Wood Heads Novices Hoyt Performs Well A Sizable Task SCHOOL FIGURES SILVER DANCE EXHIBITION,Colorado,hoyt takes lead in men's senior division as u.s. figure skating starts allen is second to colorado lad hoyt gains sizable margin in compulsory figures-- wood heads novices hoyt performs well a sizable task school figures silver dance exhibition,hoyt takes lead in men's senior division as u.s. figure skating starts allen is second to colorado lad hoyt gains sizable margin in compulsory figures-- wood heads novices hoyt performs well a sizable task school figures silver dance exhibition
22,"TWO BOND ISSUES SOLD BY OREGON; 28.9 Million Taken in School and Veteran Offerings Illinois Schools Colorado Schools Providence, R.I. Tonawanda, N.Y. Glynn County, Ga. Kentucky Schools Connecticut Schools MUNICIPAL ISSUES OFFERED, SLATED",Colorado,"two bond issues sold by oregon 28.9 million taken in school and veteran offerings illinois schools colorado schools providence, r.i. tonawanda, n.y. glynn county, ga. kentucky schools connecticut schools municipal issues offered, slated",two bond issues sold by oregon 28.9 million taken in school and veteran offerings illinois schools colorado schools providence r.i. tonawanda n.y. glynn county ga. kentucky schools connecticut schools municipal issues offered slated
23,HOUSE VOTES PLAN TO DIVERT WATER; Fryingpan River Project in Colorado Sent to Senate,Colorado,house votes plan to divert water fryingpan river project in colorado sent to senate,house votes plan to divert water fryingpan river project in colorado sent to senate
24,CURTIS CUP TEAM IS NAMED BY U.S.; Mrs. Decker Heads 8 Picked to Play British in Colorado,Colorado,curtis cup team is named by u.s. mrs. decker heads 8 picked to play british in colorado,curtis cup team is named by u.s. mrs. decker heads 8 picked to play british in colorado
25,"THRUSTON DAVIES, EX-COLLEGE HEAD; Former Colorado President Dies -- Port Authority Aide",Colorado,"thruston davies, ex-college head former colorado president dies -- port authority aide",thruston davies ex-college head former colorado president dies -- port authority aide
26,OLD HOMES REFLECT COLORADO'S GOLDEN AGE,Colorado,old homes reflect colorado's golden age,old homes reflect colorado's golden age
27,Utilities Criticize Federal Plans To Build Colorado Project Lines; UTILITIES ATTACK FEDERAL PROJECT,Colorado,utilities criticize federal plans to build colorado project lines utilities attack federal project,utilities criticize federal plans to build colorado project lines utilities attack federal project
28,Avalanche Kills Six On Colorado Slope; Colorado Avalanche Kills Six; Rescue Teams Find Two Alive Rescuers Hunt for Survivors in a Mountain of Snow,Colorado,avalanche kills six on colorado slope colorado avalanche kills six rescue teams find two alive rescuers hunt for survivors in a mountain of snow,avalanche kills six on colorado slope colorado avalanche kills six rescue teams find two alive rescuers hunt for survivors in a mountain of snow
29,WATER REPORT IS FILED; Supreme Court Gets Data on Colorado River Dispute,Colorado,water report is filed supreme court gets data on colorado river dispute,water report is filed supreme court gets data on colorado river dispute
30,"COLORADO DEFEATS KANSAS STATE, 13-0",Colorado,"colorado defeats kansas state, 13-0",colorado defeats kansas state 13-0
31,FIELD OF 18 LISTED IN WORLD HOCKEY; Tourney Slated March 8-18 at Colorado Springs,Colorado,field of 18 listed in world hockey tourney slated march 8-18 at colorado springs,field of 18 listed in world hockey tourney slated march 8-18 at colorado springs
32,LABOR RECRUITER HELD; Accused of Forcing Indians Into 'Peonage' in Colorado,Colorado,labor recruiter held accused of forcing indians into 'peonage' in colorado,labor recruiter held accused of forcing indians into 'peonage' in colorado
33,20 Children Die as Train Hits Colorado School Bus; 20 Children Die as Train Hits Their School Bus in Colorado,Colorado,20 children die as train hits colorado school bus 20 children die as train hits their school bus in colorado,20 children die as train hits colorado school bus 20 children die as train hits their school bus in colorado
34,"COLORADO BEATS OKLAHOMA, 22-14",Colorado,"colorado beats oklahoma, 22-14",colorado beats oklahoma 22-14
35,"MITCHEL FIVE BEATEN; Colorado Team Wins Final of Air Force Tourney, 85-81",Colorado,"mitchel five beaten colorado team wins final of air force tourney, 85-81",mitchel five beaten colorado team wins final of air force tourney 85-81
36,Colorado Bank Aides Accused In Passing of False Securities,Colorado,colorado bank aides accused in passing of false securities,colorado bank aides accused in passing of false securities
37,Flood Spreads in West Kansas; River Up 14 Feet in Dodge City; Death Toll in Colorado Stands at 14 -- Damages There Are Put at $102 Million,Colorado,flood spreads in west kansas river up 14 feet in dodge city death toll in colorado stands at 14 -- damages there are put at $102 million,flood spreads in west kansas river up 14 feet in dodge city death toll in colorado stands at 14 -- damages there are put at $102 million
38,"t Miss Sally Sikes And Peter Wilde Will Be Married; Alumna o Colorado Is Engaged to Gr,aduate o[ Hirvard College",Colorado,"t miss sally sikes and peter wilde will be married alumna o colorado is engaged to gr,aduate o[ hirvard college",t miss sally sikes and peter wilde will be married alumna o colorado is engaged to graduate o[ hirvard college
39,Lindsays Will Spend Holidays in Colorado,Colorado,lindsays will spend holidays in colorado,lindsays will spend holidays in colorado
40,COLORADO MINING TOWN RESTORES ITS OLD 'MET',Colorado,colorado mining town restores its old 'met',colorado mining town restores its old 'met'
41,AFTER DARK THE VILLAINS STALK IN COLORADO,Colorado,after dark the villains stalk in colorado,after dark the villains stalk in colorado
42,STUDY OF SAUCERS GAINS ACCEPTANCE; Condon Says Many Seek to Aid U. of Colorado Work No Tendency to Ridicule,Colorado,study of saucers gains acceptance condon says many seek to aid u. of colorado work no tendency to ridicule,study of saucers gains acceptance condon says many seek to aid u. of colorado work no tendency to ridicule
43,"Marriage Held For Miss Doerr, 1959 Debutante Colorado Alumna Wed to L; ieut. William W. Haynor, U.S.A.F. S;,,'ctal to The New York Tl",Colorado,"marriage held for miss doerr, 1959 debutante colorado alumna wed to l ieut. william w. haynor, u.s.a.f. s,,'ctal to the new york tl",marriage held for miss doerr 1959 debutante colorado alumna wed to l ieut. william w. haynor u.s.a.f. s'ctal to the new york tl
44,"COLORADO STATE UPSETS WYOMING; Wins, 12-10, on Field Goal by Lavan in Last Quarter",Colorado,"colorado state upsets wyoming wins, 12-10, on field goal by lavan in last quarter",colorado state upsets wyoming wins 12-10 on field goal by lavan in last quarter
45,Colorado Digs Out,Colorado,colorado digs out,colorado digs out
46,Fast Ends in Colorado,Colorado,fast ends in colorado,fast ends in colorado
47,CANYON DAM FOES FAIL TO KILL PLANS; House Unit to Vote Today on Colorado River Project,Colorado,canyon dam foes fail to kill plans house unit to vote today on colorado river project,canyon dam foes fail to kill plans house unit to vote today on colorado river project
48,"Colorado Streak Snapped by Utah In 21-to-12 Upset; COLORADO UPSET BY UTAH, 21 TO 12",Colorado,"colorado streak snapped by utah in 21-to-12 upset colorado upset by utah, 21 to 12",colorado streak snapped by utah in 21-to-12 upset colorado upset by utah 21 to 12
49,Drake Defeats Colorado State,Colorado,drake defeats colorado state,drake defeats colorado state
50,"U.S. JUMPING WON BY SAMUELSTUEN; Colorado Skiier Scores on Leaps of 206, 200 Feet -Kotlarek Takes Second",Colorado,"u.s. jumping won by samuelstuen colorado skiier scores on leaps of 206, 200 feet -kotlarek takes second",u.s. jumping won by samuelstuen colorado skiier scores on leaps of 206 200 feet -kotlarek takes second
51,"KAISER ALUMINUM SUFFERS SETBACK; Earnings Decline Sharply, Reflecting Lower Prices of Ingots and Goods Consolidation Coal U.S. Pipe and Foundry Co. McDonnell Aircraft COMPANIES ISSUE EARNINGS FIGURES American Hospital Supply Hercules Powder Co. Loew's Theatres, Inc. Black & Decker Colorado Fuel & Iron OTHER COMPANY REPORTS",Colorado,"kaiser aluminum suffers setback earnings decline sharply, reflecting lower prices of ingots and goods consolidation coal u.s. pipe and foundry co. mcdonnell aircraft companies issue earnings figures american hospital supply hercules powder co. loew's theatres, inc. black & decker colorado fuel & iron other company reports",kaiser aluminum suffers setback earnings decline sharply reflecting lower prices of ingots and goods consolidation coal u.s. pipe and foundry co. mcdonnell aircraft companies issue earnings figures american hospital supply hercules powder co. loew's theatres inc. black & decker colorado fuel & iron other company reports
52,"Mexico Aroused by Salt Content Of Irrigation Water From U.S.; Supply From Colorado River Is Said to Affect 500,000 Acres--Envoy Back in Washington to Discuss Problem",Colorado,"mexico aroused by salt content of irrigation water from u.s. supply from colorado river is said to affect 500,000 acres--envoy back in washington to discuss problem",mexico aroused by salt content of irrigation water from u.s. supply from colorado river is said to affect 500000 acres--envoy back in washington to discuss problem
53,COLORADO AWAITS OPENING OF NEW SKI CENTER; River Source Accommodations Time and Distance Dream Hill' Use Permit Building Parties Fees and Rates,Colorado,colorado awaits opening of new ski center river source accommodations time and distance dream hill' use permit building parties fees and rates,colorado awaits opening of new ski center river source accommodations time and distance dream hill' use permit building parties fees and rates
54,BRONCOS FAVORED TO DEFEAT TITANS; Denver 10-Point Choice in Colorado Game Today,Colorado,broncos favored to defeat titans denver 10-point choice in colorado game today,broncos favored to defeat titans denver 10-point choice in colorado game today
55,Marolt Wins U.S. Ski Race in Alaska; COLORADO STAR TAKES DOWNHILL Marolt Beats Werner by a Tenth of a Second--Barbi Henneberger Triumphs,Colorado,marolt wins u.s. ski race in alaska colorado star takes downhill marolt beats werner by a tenth of a second--barbi henneberger triumphs,marolt wins u.s. ski race in alaska colorado star takes downhill marolt beats werner by a tenth of a second--barbi henneberger triumphs
56,"Annual Job Shifts Reflect Coaches Fate as Football's No. 1 Men in Motion; DIETZEL LEAVES L.S.U. FOR ARMY Colorado, Wyoming, Colgate and Boston College Among Others With New Chiefs",Colorado,"annual job shifts reflect coaches fate as football's no. 1 men in motion dietzel leaves l.s.u. for army colorado, wyoming, colgate and boston college among others with new chiefs",annual job shifts reflect coaches fate as football's no. 1 men in motion dietzel leaves l.s.u. for army colorado wyoming colgate and boston college among others with new chiefs
57,FOOTBALL BAN SOUGHT; Student Senate Asks Colorado to Drop Sport for Now,Colorado,football ban sought student senate asks colorado to drop sport for now,football ban sought student senate asks colorado to drop sport for now
58,COLORADO LOOKS TO FURTHER GAINS; Production of Titan Missiles Is Major Asset -- Diversity Keeps Area Stable,Colorado,colorado looks to further gains production of titan missiles is major asset -- diversity keeps area stable,colorado looks to further gains production of titan missiles is major asset -- diversity keeps area stable
59,COLORADO'S PRIMARY TO BE HELD TUESDAY,Colorado,colorado's primary to be held tuesday,colorado's primary to be held tuesday
60,SHERIFF CONVICTED IN COLORADO THEFTS,Colorado,sheriff convicted in colorado thefts,sheriff convicted in colorado thefts
61,Chinese Scientists to Get Bids To Private Parley in Colorado,Colorado,chinese scientists to get bids to private parley in colorado,chinese scientists to get bids to private parley in colorado
62,Tornado Hits Colorado Area,Colorado,tornado hits colorado area,tornado hits colorado area
63,"Nindl of Austria and Marielle Goitschel of France Win Slaloms; KILLY, FAVORITE, FAILS IN SKI RACE French Star Misses Gate -- Nindl Is Timed in 1:44.99 for Two Colorado Runs",Colorado,"nindl of austria and marielle goitschel of france win slaloms killy, favorite, fails in ski race french star misses gate -- nindl is timed in 1:44.99 for two colorado runs",nindl of austria and marielle goitschel of france win slaloms killy favorite fails in ski race french star misses gate -- nindl is timed in 1:44.99 for two colorado runs
64,9 Killed in Mine Blast in Colorado,Colorado,9 killed in mine blast in colorado,9 killed in mine blast in colorado
65,An 84-Year-Old Steam Train Turns Back Time for Tourists in Colorado,Colorado,an 84-year-old steam train turns back time for tourists in colorado,an 84-year-old steam train turns back time for tourists in colorado
66,Colorado Party to Control Both Houses in Uruguay,Colorado,colorado party to control both houses in uruguay,colorado party to control both houses in uruguay
67,Janitor Convicted in Killing Of Coed at U. of Colorado,Colorado,janitor convicted in killing of coed at u. of colorado,janitor convicted in killing of coed at u. of colorado
68,COLORADO G.O.P. WINS STATE OFFICES BACK,Colorado,colorado g.o.p. wins state offices back,colorado g.o.p. wins state offices back
69,PROPOSITION VOTE MAY DOOM 5 MEN; Colorado Rejects Proposal to Abolish Death Penalty,Colorado,proposition vote may doom 5 men colorado rejects proposal to abolish death penalty,proposition vote may doom 5 men colorado rejects proposal to abolish death penalty
70,Colorado State Wins Debate,Colorado,colorado state wins debate,colorado state wins debate
71,COLORADO UNITS CLICK; Score 4 Touchdowns Against L.S.U. Plays in Practice,Colorado,colorado units click score 4 touchdowns against l.s.u. plays in practice,colorado units click score 4 touchdowns against l.s.u. plays in practice
72,Martha Evelyn Mitchell Married In Colorado to Farhad Ettehadieh,Colorado,martha evelyn mitchell married in colorado to farhad ettehadieh,martha evelyn mitchell married in colorado to farhad ettehadieh
73,MEXICALI WANTS NEW WATER PACT; Hopes for Reduction by U.S. of Salt in the Colorado,Colorado,mexicali wants new water pact hopes for reduction by u.s. of salt in the colorado,mexicali wants new water pact hopes for reduction by u.s. of salt in the colorado
74,FIVE IN PLANE CRASH SAVED IN COLORADO,Colorado,five in plane crash saved in colorado,five in plane crash saved in colorado
75,"Oklahoma Triumphs Over Colorado, 23-0; OKLAHOMA ROUTS COLORADO, 23 TO 0",Colorado,"oklahoma triumphs over colorado, 23-0 oklahoma routs colorado, 23 to 0",oklahoma triumphs over colorado 23-0 oklahoma routs colorado 23 to 0
76,PALMER INVOLVED IN GOLFING SCHOOL; Academy in Colorado Will Instruct Boys 11 to 17 Dey Speaks on New Clubs,Colorado,palmer involved in golfing school academy in colorado will instruct boys 11 to 17 dey speaks on new clubs,palmer involved in golfing school academy in colorado will instruct boys 11 to 17 dey speaks on new clubs
77,Bishop of Colorado Is Stripped Of Power and Must Leave State,Colorado,bishop of colorado is stripped of power and must leave state,bishop of colorado is stripped of power and must leave state
78,Colorado Minister Shears 2 Sheep to Keep Promise,Colorado,colorado minister shears 2 sheep to keep promise,colorado minister shears 2 sheep to keep promise
79,"U.S.C., COLORADO, MISSOURI ROLL ON; U.C.L.A., Nebraska, Purdue Stage Late Rallies to Avert Football Losses",Colorado,"u.s.c., colorado, missouri roll on u.c.l.a., nebraska, purdue stage late rallies to avert football losses",u.s.c. colorado missouri roll on u.c.l.a. nebraska purdue stage late rallies to avert football losses
80,U. of Colorado Is Victor On 'College Bowl' TV Quiz,Colorado,u. of colorado is victor on 'college bowl' tv quiz,u. of colorado is victor on 'college bowl' tv quiz
81,Hill Takes Lead After Four Hours of Racing in Outboard Championship; ROATA IS SECOND ON THE COLORADO Hill's Boat Runs Out of Gas After Completing the Run --Reagan's Son Third,Colorado,hill takes lead after four hours of racing in outboard championship roata is second on the colorado hill's boat runs out of gas after completing the run --reagan's son third,hill takes lead after four hours of racing in outboard championship roata is second on the colorado hill's boat runs out of gas after completing the run --reagan's son third
82,At Colorado Springs,Colorado,at colorado springs,at colorado springs
83,"No. Texas Triumphs, 17-12, Over Colorado State Eleven",Colorado,"no. texas triumphs, 17-12, over colorado state eleven",no. texas triumphs 17-12 over colorado state eleven
84,Colorado Violinist Wins National Symphony Prize,Colorado,colorado violinist wins national symphony prize,colorado violinist wins national symphony prize
85,Miss Fleming Colorado's Latest Star,Colorado,miss fleming colorado's latest star,miss fleming colorado's latest star
86,Senator Asks State Study Of Colorado River Water,Colorado,senator asks state study of colorado river water,senator asks state study of colorado river water
87,'COLLEGE BOWL' WON AGAIN BY COLORADO,Colorado,'college bowl' won again by colorado,'college bowl' won again by colorado
88,Oregon Girl Gets New Liver In Transplant in Colorado,Colorado,oregon girl gets new liver in transplant in colorado,oregon girl gets new liver in transplant in colorado
89,HOUSE PANEL BACKS COLORADO RIVER BILL,Colorado,house panel backs colorado river bill,house panel backs colorado river bill
90,4 Killed in Colorado Crash Of 2 Single-Engine Planes,Colorado,4 killed in colorado crash of 2 single-engine planes,4 killed in colorado crash of 2 single-engine planes
91,MISSOURI DEFEATS COLORADO BY 27-14,Colorado,missouri defeats colorado by 27-14,missouri defeats colorado by 27-14
92,Colorado Snow Slide Is Fatal,Colorado,colorado snow slide is fatal,colorado snow slide is fatal
93,COLORADO JOINS OLYMPIC BIDDERS; Governor Makes a Plea for '76 Winter Games,Colorado,colorado joins olympic bidders governor makes a plea for '76 winter games,colorado joins olympic bidders governor makes a plea for '76 winter games
94,PIPELINE SOUGHT BY COLORADO GAS; Concern Seeks the Carrier --El Paso Must Sell,Colorado,pipeline sought by colorado gas concern seeks the carrier --el paso must sell,pipeline sought by colorado gas concern seeks the carrier --el paso must sell
95,COLORADO GOVERNOR MEETS WITH AGNEW,Colorado,colorado governor meets with agnew,colorado governor meets with agnew
96,Lindsay Flies to Colorado For Brief Skiing Vacation,Colorado,lindsay flies to colorado for brief skiing vacation,lindsay flies to colorado for brief skiing vacation
97,Eleanor Reeves And a Surgeon To Be Married; Teacher in Colorado Is the Fiancee of Dr. Murray S. Hoffman,Colorado,eleanor reeves and a surgeon to be married teacher in colorado is the fiancee of dr. murray s. hoffman,eleanor reeves and a surgeon to be married teacher in colorado is the fiancee of dr. murray s. hoffman
98,"COLORADO VICTORY IS COACH'S FINALE; Davis Resigns After Team Upsets Air Force, 34-10 STATISTICS OF THE GAME",Colorado,"colorado victory is coach's finale davis resigns after team upsets air force, 34-10 statistics of the game",colorado victory is coach's finale davis resigns after team upsets air force 34-10 statistics of the game
99,WESTERN STATES FIGHT HARD FOR WATER; Growth of Region Puts Pressure On Supply From the Colorado Court's Decision Aids Arizona Early Start Large Flow More or Less Heavy Overdrafts Antedated Wasted Water,Colorado,western states fight hard for water growth of region puts pressure on supply from the colorado court's decision aids arizona early start large flow more or less heavy overdrafts antedated wasted water,western states fight hard for water growth of region puts pressure on supply from the colorado court's decision aids arizona early start large flow more or less heavy overdrafts antedated wasted water
0,"Rangers Trade Berenson and Plager to St. Louis; STEWART, WINGER, TO JOIN NEW YORK 35-Year-Old Player Is Key to Deal--Rangers Also Get Attwell, N.H.L. Rookie Good Skate, No Score Ranger 'Youth' Move",New York,"rangers trade berenson and plager to st. louis stewart, winger, to join new york 35-year-old player is key to deal--rangers also get attwell, n.h.l. rookie good skate, no score ranger 'youth' move",rangers trade berenson and plager to st. louis stewart winger to join new york 35-year-old player is key to deal--rangers also get attwell n.h.l. rookie good skate no score ranger 'youth' move
1,New York Layoffs Set,New York,new york layoffs set,new york layoffs set
2,Macy's New York Elects,New York,macy's new york elects,macy's new york elects
3,Eight From New York Area Listed Among Vietnam Dead,New York,eight from new york area listed among vietnam dead,eight from new york area listed among vietnam dead
4,Bank of New York Elects,New York,bank of new york elects,bank of new york elects
5,NEW YORK AIR BRAKE STUDIES MERGER BID,New York,new york air brake studies merger bid,new york air brake studies merger bid
6,ARRIVAL OF BUYERS IN NEW YORK; ARRIVAL OF BUYERS,New York,arrival of buyers in new york arrival of buyers,arrival of buyers in new york arrival of buyers
7,New York May Extend Harness Racing Season,New York,new york may extend harness racing season,new york may extend harness racing season
8,Pakistan Assails India; By JACQUES NEVARD Special to The New York Times,New York,pakistan assails india by jacques nevard special to the new york times,pakistan assails india by jacques nevard special to the new york times
9,Confident and Innocent; AT BELLEAU WOOD. By Robert B. Asprey. Illustrated. 375 pp. New York: G.P. Putnam's Sons. $6.50.,New York,confident and innocent at belleau wood. by robert b. asprey. illustrated. 375 pp. new york: g.p. putnam's sons. $6.50.,confident and innocent at belleau wood. by robert b. asprey. illustrated. 375 pp. new york: g.p. putnam's sons. $6.50.
10,FANS FLOCK TO NEW YORK FILM FESTIVAL,New York,fans flock to new york film festival,fans flock to new york film festival
11,CANCER STUDY PLANNED IN NEW YORK STATE,New York,cancer study planned in new york state,cancer study planned in new york state
12,"Clams Offer Resistance, but Are a Favorite in New York All Year; The Bivalves May Be Served Hot in Half Shell",New York,"clams offer resistance, but are a favorite in new york all year the bivalves may be served hot in half shell",clams offer resistance but are a favorite in new york all year the bivalves may be served hot in half shell
13,ARRIVAL OF BUYERS IN NEW YORK,New York,arrival of buyers in new york,arrival of buyers in new york
14,Macy's New York Appoints Four Vice Presidents,New York,macy's new york appoints four vice presidents,macy's new york appoints four vice presidents
15,East New York Sponge Leader And 2 Face Burglary Charge,New York,east new york sponge leader and 2 face burglary charge,east new york sponge leader and 2 face burglary charge
16,New York's City Hospitals,New York,new york's city hospitals,new york's city hospitals
17,"LARK. By Sally Watson. 223 pp. New York: Holt, Rinehart & Winston. $3.50.; For Ages 10 to 14.",New York,"lark. by sally watson. 223 pp. new york: holt, rinehart & winston. $3.50. for ages 10 to 14.",lark. by sally watson. 223 pp. new york: holt rinehart & winston. $3.50. for ages 10 to 14.
18,"Spero, Maher Among 6 Qualifiers for Single Sculls Final at World Trials; NEW YORK A.C. STAR IN SPEEDIEST RUN Spero Rows 2,000 Meters in 8:01 Kreger, Gunderson, Dietz, Schwarz Qualify",New York,"spero, maher among 6 qualifiers for single sculls final at world trials new york a.c. star in speediest run spero rows 2,000 meters in 8:01 kreger, gunderson, dietz, schwarz qualify",spero maher among 6 qualifiers for single sculls final at world trials new york a.c. star in speediest run spero rows 2000 meters in 8:01 kreger gunderson dietz schwarz qualify
19,Renee A. Stark Is Married Here To S.J. Marcus; New York University Graduate Bride of Penn Alumnus,New York,renee a. stark is married here to s.j. marcus new york university graduate bride of penn alumnus,renee a. stark is married here to s.j. marcus new york university graduate bride of penn alumnus
20,Officers Are Selected By Bank of New York,New York,officers are selected by bank of new york,officers are selected by bank of new york
21,Voyage of Self-Discovery; ANDRE GIDE: His Life and Art. By Wallace Fowlie. 217 pp. New York: The Macmillan Company. $4.95.,New York,voyage of self-discovery andre gide: his life and art. by wallace fowlie. 217 pp. new york: the macmillan company. $4.95.,voyage of self-discovery andre gide: his life and art. by wallace fowlie. 217 pp. new york: the macmillan company. $4.95.
22,"MAPLE LEAFS WIN FROM RANGERS, 5- Maniago of New York Hurt in Second-Period Collision",New York,"maple leafs win from rangers, 5- maniago of new york hurt in second-period collision",maple leafs win from rangers 5- maniago of new york hurt in second-period collision
23,Table for High Tide for Waters Adjacent to New York,New York,table for high tide for waters adjacent to new york,table for high tide for waters adjacent to new york
24,Treasury Statement; Special to The New York Times,New York,treasury statement special to the new york times,treasury statement special to the new york times
25,Problems for Hart Are Everywhere at Pittsburgh; By GORDON S. WHITE Jr. Special to The New York Times,New York,problems for hart are everywhere at pittsburgh by gordon s. white jr. special to the new york times,problems for hart are everywhere at pittsburgh by gordon s. white jr. special to the new york times
26,Persians Were Painted; A CONSPIRACY OF WOMEN. By Aubrey Menen. 244. pp. New York: Random House. $4.95.,New York,persians were painted a conspiracy of women. by aubrey menen. 244. pp. new york: random house. $4.95.,persians were painted a conspiracy of women. by aubrey menen. 244. pp. new york: random house. $4.95.
27,"Rebel Seekers After Truth; HALF-WAY TO THE MOON: New Wing from Russia. Edited by Patricia Blake and Max Hayward. 276 pp. New York: Holt, Rinehart & Winston. $5.95.",New York,"rebel seekers after truth half-way to the moon: new wing from russia. edited by patricia blake and max hayward. 276 pp. new york: holt, rinehart & winston. $5.95.",rebel seekers after truth half-way to the moon: new wing from russia. edited by patricia blake and max hayward. 276 pp. new york: holt rinehart & winston. $5.95.
28,Facile Despair; A HOUSE ON THE SOUND. By Kathrin Perutz. 213 pp. New York: Coward-McCann. $3.95.,New York,facile despair a house on the sound. by kathrin perutz. 213 pp. new york: coward-mccann. $3.95.,facile despair a house on the sound. by kathrin perutz. 213 pp. new york: coward-mccann. $3.95.
29,Search Undersea; HYDROSPACE. By Martin Caidin. Illustrated. 320 pp. New York: E.P. Dutton & Co. $5.95.,New York,search undersea hydrospace. by martin caidin. illustrated. 320 pp. new york: e.p. dutton & co. $5.95.,search undersea hydrospace. by martin caidin. illustrated. 320 pp. new york: e.p. dutton & co. $5.95.
